類別,大題號、小題號,自評項目,補充資料
七、信託業務行銷廣告,七、7.,廣告文宣之內容如涉及信託業務(如奈米投)，是否「無虛偽、詐欺、隱匿或其他足致他人誤信之行為」？,
七、信託業務行銷廣告,七、8.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「未將有定期配息性質之金融商品，與定期存款相互比擬，以避免誤導投資人對於金融商品實質風險之誤認」？,定期配息之金融商品:股票股利、債券、定期存款、投資信託、REITs（房地產投資信託）、優先股
七、信託業務行銷廣告,七、9.,廣告文宣之內容如涉及信託業務(如奈米投)，並且出現與賦稅優惠有關之說明，是否載明所適用之對象及範圍？,如果沒有與稅相關的優惠，則是否符合規定輸出:不適用
七、信託業務行銷廣告,七、10.,若出現有關免稅之說明，是否載明免稅對象、免稅內容？,如果沒有與稅相關的優惠，則是否符合規定輸出:不適用
七、信託業務行銷廣告,七、11.,如涉及比較信託業及其競爭者時(如奈米投)，是否為客觀公平之比較，並揭露該比較之假設條件及比較因素，不得有誤導一般投資大眾或客戶之虞？,
七、信託業務行銷廣告,七、12.,是否出現「錯別字」或「不雅之文字」？,
七、信託業務行銷廣告,七、15.,是否載明本行(台北富邦銀行)之名稱及聯絡方式？,
七、信託業務行銷廣告,七、17.,廣告文宣之內容如涉及信託業務(如奈米投)，是否「未涉及對新台幣走勢之臆測」？,
七、信託業務行銷廣告,七、18.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「未使用「優於定存」、「打敗通膨」等相類詞語」？,
七、信託業務行銷廣告,七、19.,廣告中使用了「第一」、「冠軍」、「最多」、「最大」等最高級用語？若適用，則是否有銷售數字或意見調查等客觀數據佐證？,最高級用語:第一、冠軍、最多、最大、最佳、頂尖、最優、最高、首位、領先、榜首、最速、最先、最強、最好、唯一、最頂級、最值得、最受歡迎、最新以此類推(最…)
七、信託業務行銷廣告,七、20.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「不得採用使人誤信能保證本金之安全或獲利之文字」？,
七、信託業務行銷廣告,七、21.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「對於獲利與風險應作平衡報導」,
七、信託業務行銷廣告,七、22.,請確認文案內容與佐證資料是否不符?,
